"Stock Number","Order Number","Registration Number","Make","Model","Specification","Colour","Registration Date","VIN","Odometer","Previous Owners","Customer Order","Reserved","Selling Price","Qualifying","Internet Price","Date In Stock","Original Group Date In Stock","Licence Expiry","Body Style","Fuel Type","CO2 Emission","Interior","Transmission","Drive","Vehicle Code","Photo Count","Video","Division","Branch","Location","Profiles","Funder","Date Funded","MID","COF Expiry Date",Birthday,Engine Number,Key Code,Model Code,Model Job Number,Order Number,Paint Code,Radio Code,Selling Dealer,"Trade - In(s)","Engine Size","Estimated Delivery Date","Purchased By","Stocktake Date","Stocktake User","Customer",Option Groups
"US1752","","KFM843MP","Ford","Ranger Double Cab ICA","2.0D XLT A/T P/U D/C","White","24/08/2023","AFAPXXMJ2PLL29207","88000","","No","No","439900.00","Yes","439900.00","27/06/2023 14:20:00","27/06/2023 14:20:00","","LCV","Diesel","0","Leather","6AT","Right Hand Drive","22032568","0","No","Nelspruit Auto Ford & Suzuki Malalane","Nelspruit Auto Ford Malalane","Malalane Used Vehicle","Retail","","","No","",,YM2LPLL29207,,22032568,,,,,,"","0","24/06/2023 00:00:00","Liam Winter","20/11/2023 07:39:33","Cathy Grobelaar","",
"US1816","","STEYN001","Ford","Figo","1.5 Trend 5MT 5DR","Silver","03/12/2021","MAJGXXMTKGMR89268","71000","","No","No","199900.00","Yes","199900.00","30/10/2023 16:20:00","30/10/2023 00:00:00","","Hatch","Petrol","0","Cloth","Manual","Right Hand Drive","22020260","0","No","Nelspruit Auto Ford & Suzuki Malalane","Nelspruit Auto Ford Malalane","Nelspruit ?","Retail","","","No","",,XZKAMR89268,,,,,,,,"","1500","31/10/2023 00:00:00","Carel Jordaan","29/01/2024 16:46:33","Shanice Dennis","",
"US1822","","JVS251MP","Ford","Ranger Rap Cab","2019 RANGER RAPCAP 3.2 I5 DSL 200PS 6SPD AUTO TRA","White","04/06/2019","AFAGXXMJ2GKE03140","103144","","No","No","399900.00","Yes","399900.00","17/11/2023 14:10:00","31/10/2023 00:00:00","","","Diesel","0","Leather","Automatic","Right Hand Drive","22032913","0","No","Nelspruit Auto Ford & Suzuki Malalane","Nelspruit Auto Ford Malalane","Mazda Retail Floor","Retail","","","No","",,SA2LGKE03140,,,,,,,,"","0","31/10/2023 00:00:00","Carel Jordaan","05/02/2024 07:06:57","Cathy Grobelaar","",
"US1834","","16103","Suzuki","SWIFT/ DZIRE","SWIFT 1.2 GA","White","30/11/2023","MBHCZC63S00B16103","9000","","No","No","189899.99","Yes","189900.00","27/11/2023 11:00:00","27/11/2023 00:00:00","","Hatch","Petrol","0","Cloth","Manual","Right Hand Drive","59007061","0","No","Nelspruit Auto Ford & Suzuki Malalane","Nelspruit Auto Ford Malalane","Malalane Retail Floor","Retail","","","No","",,K12MP1428105,,,,,,,,"","1200","27/11/2023 00:00:00","Carel Jordaan","29/01/2024 06:52:53","Cathy Grobelaar","",
"US1835","","4C58","Ford","Everest","2.0L SPORT 10AT 4X4","Arctic White","16/05/2023","MNBRXXMAWRPK93947","6614","","No","No","909900.00","Yes","909900.00","29/11/2023 10:00:00","29/11/2023 00:00:00","","SUV","Diesel","0","Leather","10AT","Right Hand Drive","22089400","0","No","Nelspruit Auto Ford & Suzuki Malalane","Nelspruit Auto Ford Malalane","Malalane Used Vehicle","Retail","","","No","16/05/2027",,YNWQ RPK93947,,,,,,,,"","2000","28/11/2023 00:00:00","Carel Jordaan","05/02/2024 07:01:12","Cathy Grobelaar","",
"US1839","","JN29PYGP","Toyota","HILUX 2016 ON","HILUX 2.8 GD-6 RB LEGEND A/T P/U D/C","Sivler","10/08/2020","AHTGA3DDX00978549","120272","","No","No","569900.00","Yes","569900.00","12/12/2023 12:00:00","12/12/2023 00:00:00","","LCV","Diesel","0","Leather","6AT","Right Hand Drive","60039925","0","No","Nelspruit Auto Ford & Suzuki Malalane","Nelspruit Auto Ford Malalane","Trade Centre","Retail","","","No","10/08/2024",,1GD0801805,,,,,,,,"","2","15/12/2023 00:00:00","Carel Jordaan","29/01/2024 16:53:28","Shanice Dennis","",
"US1845","","JZD271MP","Ford","Everest","# 2.0 Turbo XLT 10AT 4X2","Whita","30/11/2019","AFAJXXMJWJKJ53115","90000","","No","No","479900.00","Yes","479900.00","29/12/2023 13:00:00","29/12/2023 00:00:00","","SUV","Diesel","0","Leather","Automatic","Right Hand Drive","22089310","0","No","Nelspruit Auto Ford & Suzuki Malalane","Nelspruit Auto Ford Malalane","At Customer","Retail","","","No","30/11/2024",,YMWLJKJ53115,,WDJB,,,,,,"","1998","30/01/2024 00:00:00","Carel Jordaan","05/02/2024 07:05:53","Cathy Grobelaar","",
"US1855","","NP162432","Jumbalaya","COROLLA QUEST","PLUS 1.8","White","04/01/2021","AHTBF8JE101006077","52690","","No","No","239995.00","Yes","0.00","12/01/2024 16:05:00","12/01/2024 00:00:00","","Sedan","Petrol","165","Cloth","Manual","Right Hand Drive","60010300","0","No","Nelspruit Auto Ford & Suzuki Malalane","Nelspruit Auto Ford Malalane","Malalane Used Vehicle","Retail","","","No","",,2ZRW468443,Spare Key,60010300,,M,Danie Top Cars,190000,Produkta Motors,"","0","17/01/2024 00:00:00","Carel Jordaan","05/02/2024 07:09:22","Cathy Grobelaar","",
"US1856","","LC38DLGP","Mercedes-Benz","GLC","GLC 220d 4MATIC","Artic White","","WDC2539152F726047","61000","","No","No","600000.00","Yes","0.00","23/01/2024 11:00:00","23/01/2024 11:00:00","","SUV","Diesel","0","Leather","6AT","Right Hand Drive","44071221","0","No","Nelspruit Auto Ford & Suzuki Malalane","Nelspruit Auto Ford Malalane","Malalane Used Vehicle","Retail","","","No","",,65492080618806,,,,,,,,"","2200","19/01/2024 00:00:00","Carel Jordaan","05/02/2024 07:07:11","Cathy Grobelaar","",
"US1857","","HYG267MP","Suzuki","Jimny","1.3 MT","WHITE","04/02/2014","JSAFJB43V00584054","196918","","No","No","0.00","Yes","0.00","15/01/2024 15:55:00","15/01/2024 00:00:00","","SUV","Petrol","0","Cloth","Manual 4x4","Right Hand Drive","59004100","0","No","Nelspruit Auto Ford & Suzuki Malalane","Nelspruit Auto Ford Malalane","Trade Centre","Retail","","","No","",,M13A2341694,,,,Trf from Suzuki to Ford,,,,"","1300","15/01/2024 00:00:00","Carel Jordaan","","","",
